Date,Open,High,Low,Close,Volume,Quote_Volume,Trades_Count,div,Log_VolumeGain
9/16/2021 4:00,47615.07,48557,47583.11,48343.52,7276,351233991,184955,0.984931796,13.71217369
9/16/2021 8:00,48343.52,48356.01,47623,47895.01,6227,298944323,179963,1.009364441,-16.1195297
9/16/2021 12:00,47895.01,48226.38,47211.35,48020.24,9702,463206040,274709,0.997392141,43.79146205
9/16/2021 16:00,48020.24,48166.66,47269,47430.01,5842,278705217,185659,1.012444231,-50.80173125
9/16/2021 20:00,47430,47942.41,47021.1,47737.82,5271,250129362,172398,0.993551863,-10.81764213
9/17/2021 0:00,47737.81,48094.26,47450.44,47899.83,4491,214818427,148626,0.996617525,-15.21850863
9/17/2021 4:00,47899.83,48150,47652.51,47719.73,4715,226062616,165992,1.00377412,5.101887711
9/17/2021 8:00,47719.73,47989.2,47278.9,47403.56,7268,346226744,222867,1.006669752,42.62818671
9/17/2021 12:00,47403.56,47656.35,47126.1,47527.52,5877,278548774,172071,0.997391827,-21.75007148
9/17/2021 16:00,47527.52,47730,46750.47,47501.68,6326,298739118,172227,1.000543981,6.997750238
9/17/2021 20:00,47501.68,47578.94,46699.56,47299.98,5784,272726370,152185,1.004264272,-9.110169263
9/18/2021 0:00,47299.98,47987.49,47035.56,47924.57,4564,217012345,137001,0.986967228,-22.85147435
9/18/2021 4:00,47924.57,48843.2,47919.91,48622.01,8849,428990164,244382,0.985655879,68.14797496
9/18/2021 8:00,48622.01,48824.54,48315,48367.16,4348,211358781,140422,1.005269071,-70.78769176
9/18/2021 12:00,48367.16,48680,48249.16,48414.99,4222,204513738,139368,0.999012083,-3.292192164
9/18/2021 16:00,48414.99,48518.99,48062.63,48266,4165,200995027,151151,1.003086852,-1.735498525
9/18/2021 20:00,48266,48369.37,47800.51,48292.74,4758,228591572,164022,0.999446294,12.86567163
9/19/2021 0:00,48292.75,48372.83,47591.83,47844.88,4171,199905735,129771,1.009360876,-13.40909524
9/19/2021 4:00,47844.88,48218.97,47763.85,48157.7,3118,149601269,98382,0.993504258,-28.98723823
9/19/2021 8:00,48157.7,48333,47180.32,47327.73,5996,287006654,182283,1.017536653,65.1531852
9/19/2021 12:00,47327.73,47770,47069.01,47646.72,6346,300881732,174413,0.993305101,4.721187043
9/19/2021 16:00,47646.71,47785,47287.91,47376.72,5379,255749684,154484,1.00569879,-16.25181013
9/19/2021 20:00,47376.72,47666.01,46829.18,47241.75,4837,228497806,170452,1.002857007,-11.26725607
9/20/2021 0:00,47241.75,47347.25,45100,45542.76,11684,540285980,301073,1.037305381,86.05719834
9/20/2021 4:00,45542.75,45836.85,44444,44824.89,9579,434160455,232884,1.016014763,-21.86844142
9/20/2021 8:00,44830.01,45295,43240.33,43739.75,15248,677510783,364783,1.024926068,44.50112907
9/20/2021 12:00,43734,44135,42500,43844.88,22075,960796933,473289,0.997471084,34.93376101
9/20/2021 16:00,43844.88,44250,42888,43850.25,10677,465777160,255163,0.999877538,-72.40557563
9/20/2021 20:00,43850.26,43968.67,42551.11,43015.62,8741,378607964,215039,1.019403184,-20.72060484
9/21/2021 0:00,43016.64,43111,40200,42683.01,20366,853494902,443180,1.007816459,81.28382952
9/21/2021 4:00,42683.02,43340,42172.24,43301.07,8293,354149710,190547,0.985726681,-87.96198358
9/21/2021 8:00,43301.08,43639,43050,43288.97,7323,317034685,187925,1.000279748,-11.0708549
9/21/2021 12:00,43288.97,43550,42146.13,43072.81,11222,481504777,232576,1.005018479,41.7904968
9/21/2021 16:00,43072.81,43295.66,41502,42013.63,13878,586575986,290297,1.02521039,19.73860658
9/21/2021 20:00,42010.81,42331.87,39600,40734.38,23452,959237727,476196,1.031335447,49.18367166
9/22/2021 0:00,40734.09,42420.75,40565.39,42052.09,13527,563399929,247569,0.968657919,-53.21492053
9/22/2021 4:00,42055.55,42749.4,41820.01,42540,7658,323163763,171329,0.988611895,-55.58305285
9/22/2021 8:00,42541.23,42618.55,41841.46,41928.32,6889,290869427,178188,1.014618043,-10.52847389
